#
# National Water Information System
# 2013/12/18
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	CASRN	SRSName	parm_unit
34634	Organics, Other	3,3'-Dichlorobenzidine, bed sediment, recoverable, dry weight, micrograms per kilogram	91-94-1	3,3'-Dichlorobenzidine	ug/kg
34636	Organics, Other	4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter	101-55-3	p-Bromophenyl phenyl ether	ug/l
34637	Organics, Other	4-Bromophenyl phenyl ether, water, filtered, recoverable, micrograms per liter	101-55-3	p-Bromophenyl phenyl ether	ug/l
34638	Organics, Other	4-Bromophenyl phenyl ether, suspended sediment, recoverable, micrograms per liter	101-55-3	p-Bromophenyl phenyl ether	ug/l
34639	Organics, Other	4-Bromophenyl phenyl ether, bed sediment, recoverable, dry weight, micrograms per kilogram	101-55-3	p-Bromophenyl phenyl ether	ug/kg
34641	Organics, Other	4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter	7005-72-3	p-Chlorophenyl phenyl ether	ug/l
34642	Organics, Other	4-Chlorophenyl phenyl ether, water, filtered, recoverable, micrograms per liter	7005-72-3	p-Chlorophenyl phenyl ether	ug/l
34643	Organics, Other	4-Chlorophenyl phenyl ether, suspended sediment, recoverable, micrograms per liter	7005-72-3	p-Chlorophenyl phenyl ether	ug/l
34644	Organics, Other	4-Chlorophenyl phenyl ether, bed sediment, recoverable, dry weight, micrograms per kilogram	7005-72-3	p-Chlorophenyl phenyl ether	ug/kg
34646	Organics, Pesticide	4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter	100-02-7	p-Nitrophenol	ug/l
34647	Organics, Pesticide	4-Nitrophenol, water, filtered, recoverable, micrograms per liter	100-02-7	p-Nitrophenol	ug/l
34648	Organics, Pesticide	4-Nitrophenol, suspended sediment, recoverable, micrograms per liter	100-02-7	p-Nitrophenol	ug/l
34649	Organics, Pesticide	4-Nitrophenol, bed sediment, recoverable, dry weight, micrograms per kilogram	100-02-7	p-Nitrophenol	ug/kg
34651	Organics, Pesticide	p,p'-DDD, water, filtered, recoverable, micrograms per liter	72-54-8	p,p'-DDD	ug/l
34652	Organics, Pesticide	p,p'-DDD, suspended sediment, recoverable, micrograms per liter	72-54-8	p,p'-DDD	ug/l
34653	Organics, Pesticide	p,p'-DDE, water, filtered, recoverable, micrograms per liter	72-55-9	p,p'-DDE	ug/l
34654	Organics, Pesticide	p,p'-DDE, suspended sediment, recoverable, micrograms per liter	72-55-9	p,p'-DDE	ug/l
34655	Organics, Pesticide	p,p'-DDT, water, filtered, recoverable, micrograms per liter	50-29-3	p,p'-DDT	ug/l
34656	Organics, Pesticide	p,p'-DDT, suspended sediment, recoverable, micrograms per liter	50-29-3	p,p'-DDT	ug/l
34657	Organics, Pesticide	2-Methyl-4,6-dinitrophenol, water, unfiltered, recoverable, micrograms per liter	534-52-1	4,6-Dinitro-o-cresol	ug/l
34658	Organics, Pesticide	2-Methyl-4,6-dinitrophenol, water, filtered, recoverable, micrograms per liter	534-52-1	4,6-Dinitro-o-cresol	ug/l
34659	Organics, Pesticide	2-Methyl-4,6-dinitrophenol, suspended sediment, recoverable, micrograms per liter	534-52-1	4,6-Dinitro-o-cresol	ug/l
34660	Organics, Pesticide	2-Methyl-4,6-dinitrophenol, bed sediment, recoverable, dry weight, micrograms per kilogram	534-52-1	4,6-Dinitro-o-cresol	ug/kg
34662	Organics, PCBs	Aroclor 1221, water, filtered, recoverable, micrograms per liter	11104-28-2	Aroclor 1221	ug/l
34663	Organics, PCBs	Aroclor 1221, suspended sediment, recoverable, micrograms per liter	11104-28-2	Aroclor 1221	ug/l
34665	Organics, PCBs	Aroclor 1232, water, filtered, recoverable, micrograms per liter	11141-16-5	Aroclor 1232	ug/l
34666	Organics, PCBs	Aroclor 1232, suspended sediment, recoverable, micrograms per liter	11141-16-5	Aroclor 1232	ug/l
34668	Organics, Other	Dichlorodifluoromethane, water, unfiltered, recoverable, micrograms per liter	75-71-8	CFC-12	ug/l
34671	Organics, PCBs	Aroclor 1016, water, unfiltered, recoverable, micrograms per liter	12674-11-2	Aroclor 1016	ug/l
34672	Organics, PCBs	Aroclor 1016, water, filtered, recoverable, micrograms per liter	12674-11-2	Aroclor 1016	ug/l
34673	Organics, PCBs	Aroclor 1016, suspended sediment, recoverable, micrograms per liter	12674-11-2	Aroclor 1016	ug/l
34675	Organics, Other	2,3,7,8-Tetrachlorodibenzo-p-dioxin, water, unfiltered, recoverable, micrograms per liter	1746-01-6	2,3,7,8-Tetrachlorodibenzo-p-dioxin	ug/l
34676	Organics, Other	2,3,7,8-Tetrachlorodibenzo-p-dioxin, water, filtered, recoverable, micrograms per liter	1746-01-6	2,3,7,8-Tetrachlorodibenzo-p-dioxin	ug/l
34677	Organics, Other	2,3,7,8-Tetrachlorodibenzo-p-dioxin, suspended sediment, recoverable, micrograms per liter	1746-01-6	2,3,7,8-Tetrachlorodibenzo-p-dioxin	ug/l
34678	Organics, Other	2,3,7,8-Tetrachlorodibenzo-p-dioxin, bed sediment, recoverable, dry weight, micrograms per kilogram	1746-01-6	2,3,7,8-Tetrachlorodibenzo-p-dioxin	ug/kg
34694	Organics, Other	Phenol, water, unfiltered, recoverable, micrograms per liter	108-95-2	Phenol	ug/l
34695	Organics, Other	Phenol, bed sediment, recoverable, dry weight, micrograms per kilogram	108-95-2	Phenol	ug/kg
34696	Organics, Other	Naphthalene, water, unfiltered, recoverable, micrograms per liter	91-20-3	Naphthalene	ug/l
34697	Organics, Pesticide	trans-1,3-Dichloropropene, bed sediment, recoverable, dry weight, micrograms per kilogram	10061-02-6	trans-1,3-Dichloropropene	ug/kg
34699	Organics, Pesticide	trans-1,3-Dichloropropene, water, unfiltered, recoverable, micrograms per liter	10061-02-6	trans-1,3-Dichloropropene	ug/l
34700	Organics, Pesticide	trans-1,3-Dichloropropene, water, filtered, recoverable, micrograms per liter	10061-02-6	trans-1,3-Dichloropropene	ug/l
34701	Organics, Pesticide	trans-1,3-Dichloropropene, suspended sediment, recoverable, micrograms per liter	10061-02-6	trans-1,3-Dichloropropene	ug/l
34702	Organics, Pesticide	cis-1,3-Dichloropropene, bed sediment, recoverable, dry weight, micrograms per kilogram	10061-01-5	cis-1,3-Dichloropropene	ug/kg
34704	Organics, Pesticide	cis-1,3-Dichloropropene, water, unfiltered, recoverable, micrograms per liter	10061-01-5	cis-1,3-Dichloropropene	ug/l
34705	Organics, Pesticide	cis-1,3-Dichloropropene, water, filtered, recoverable, micrograms per liter	10061-01-5	cis-1,3-Dichloropropene	ug/l
34706	Organics, Pesticide	cis-1,3-Dichloropropene, suspended sediment, recoverable, micrograms per liter	10061-01-5	cis-1,3-Dichloropropene	ug/l
34750	Organics, Other	2,3,7,8-Tetrachlorodibenzofuran, water, unfiltered, recoverable, nanograms per liter	51207-31-9	2,3,7,8-Tetrachlorodibenzofuran	ng/l
34756	Organics, Pesticide	Triazine screen, water, filtered, enzyme link immuno sorbent assay, recoverable, micrograms per liter as atrazine	 	Triazines mixture, unspecified	ugAtrazn/L
34757	Organics, Pesticide	Triazine screen, water, unfiltered, enzyme link immuno sorbent assay, recoverable, micrograms per liter as atrazine	 	Triazines mixture, unspecified	ugAtrazn/L
34758	Organics, Pesticide	Triazine screen, bed sediment, enzyme link immuno sorbent assay, recoverable, dry weight, micrograms per kilogram as atrazine	 	Triazines mixture, unspecified	ugAtrzn/kg
34759	Organics, Pesticide	Triazine screen, suspended sediment, enzyme link immuno sorbent assay, recoverable, dry weight, micrograms per kilogram as atrazine	 	Triazines mixture, unspecified	ugAtrzn/kg
34760	Organics, Pesticide	Terbutryn, bed sediment, recoverable, dry weight, micrograms per kilogram	886-50-0	Terbutryn	ug/kg
34761	Organics, Pesticide	2-Hydroxy-4-isopropylamino-6-ethylamino-s-triazine, water, filtered, recoverable, micrograms per liter	2163-68-0	1,3,5-Triazin-2(1H)-one, 4-(ethylamino)-6-[(1-methylethyl)amino]-	ug/l
34762	Organics, Pesticide	2-Hydroxy-4-isopropylamino-6-ethylamino-s-triazine, bed sediment, recoverable, dry weight, micrograms per kilogram	2163-68-0	1,3,5-Triazin-2(1H)-one, 4-(ethylamino)-6-[(1-methylethyl)amino]-	ug/kg
34763	Organics, Pesticide	2-Hydroxy-4-isopropylamino-6-ethylamino-s-triazine, suspended sediment, recoverable, dry weight, micrograms per kilogram	2163-68-0	1,3,5-Triazin-2(1H)-one, 4-(ethylamino)-6-[(1-methylethyl)amino]-	ug/kg
34777	Physical	Exposed bedrock in streambed (fraction of the streambed that is exposed bedrock), percent	 	 	%
34790	Inorganics, Minor, Metals	Aluminum, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent	7429-90-5	Aluminum	%
34791	Inorganics, Minor, Metals	Aluminum, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent	7429-90-5	Aluminum	%
34792	Inorganics, Minor, Metals	Aluminum, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent	7429-90-5	Aluminum	%
34793	Inorganics, Minor, Metals	Aluminum, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent	7429-90-5	Aluminum	%
34794	Inorganics, Minor, Metals	Aluminum, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent	7429-90-5	Aluminum	%
34795	Inorganics, Minor, Non-metals	Antimony, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-36-0	Antimony	mg/kg
34796	Inorganics, Minor, Non-metals	Antimony, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-36-0	Antimony	mg/kg
34797	Inorganics, Minor, Non-metals	Antimony, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-36-0	Antimony	mg/kg
34798	Inorganics, Minor, Non-metals	Antimony, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-36-0	Antimony	mg/kg
34799	Inorganics, Minor, Non-metals	Antimony, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-36-0	Antimony	mg/kg
34800	Inorganics, Minor, Non-metals	Arsenic, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-38-2	Arsenic	mg/kg
34801	Inorganics, Minor, Non-metals	Arsenic, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-38-2	Arsenic	mg/kg
34802	Inorganics, Minor, Non-metals	Arsenic, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-38-2	Arsenic	mg/kg
34803	Inorganics, Minor, Non-metals	Arsenic, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-38-2	Arsenic	mg/kg
34804	Inorganics, Minor, Non-metals	Arsenic, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-38-2	Arsenic	mg/kg
34805	Inorganics, Minor, Metals	Barium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-39-3	Barium	mg/kg
34806	Inorganics, Minor, Metals	Barium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-39-3	Barium	mg/kg
34807	Inorganics, Minor, Metals	Barium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-39-3	Barium	mg/kg
34808	Inorganics, Minor, Metals	Barium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-39-3	Barium	mg/kg
34809	Inorganics, Minor, Metals	Barium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-39-3	Barium	mg/kg
34810	Inorganics, Minor, Metals	Beryllium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-41-7	Beryllium	mg/kg
34811	Inorganics, Minor, Metals	Beryllium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-41-7	Beryllium	mg/kg
34812	Inorganics, Minor, Metals	Beryllium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-41-7	Beryllium	mg/kg
34813	Inorganics, Minor, Metals	Beryllium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-41-7	Beryllium	mg/kg
34814	Inorganics, Minor, Metals	Beryllium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-41-7	Beryllium	mg/kg
34815	Inorganics, Minor, Metals	Bismuth, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-69-9	Bismuth	mg/kg
34816	Inorganics, Minor, Metals	Bismuth, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-69-9	Bismuth	mg/kg
34817	Inorganics, Minor, Metals	Bismuth, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-69-9	Bismuth	mg/kg
34818	Inorganics, Minor, Metals	Bismuth, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-69-9	Bismuth	mg/kg
34819	Inorganics, Minor, Metals	Bismuth, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-69-9	Bismuth	mg/kg
34820	Inorganics, Minor, Non-metals	Boron, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-42-8	Boron	mg/kg
34821	Inorganics, Minor, Non-metals	Boron, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-42-8	Boron	mg/kg
34822	Inorganics, Minor, Non-metals	Boron, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-42-8	Boron	mg/kg
34823	Inorganics, Minor, Non-metals	Boron, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-42-8	Boron	mg/kg
34824	Inorganics, Minor, Non-metals	Boron, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-42-8	Boron	mg/kg
34825	Inorganics, Minor, Metals	Cadmium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-43-9	Cadmium	mg/kg
34826	Inorganics, Minor, Metals	Cadmium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-43-9	Cadmium	mg/kg
34827	Inorganics, Minor, Metals	Cadmium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-43-9	Cadmium	mg/kg
34828	Inorganics, Minor, Metals	Cadmium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-43-9	Cadmium	mg/kg
34829	Inorganics, Minor, Metals	Cadmium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-43-9	Cadmium	mg/kg
34830	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, percent	7440-70-2	Calcium	%
34831	Inorganics, Major, Metals	Calcium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, percent	7440-70-2	Calcium	%
34832	Inorganics, Major, Metals	Calcium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, percent	7440-70-2	Calcium	%
34833	Inorganics, Major, Metals	Calcium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, percent	7440-70-2	Calcium	%
34834	Inorganics, Major, Metals	Calcium, suspended sediment larger than 62.5 microns, total digestion, dry weight, percent	7440-70-2	Calcium	%
34835	Inorganics, Minor, Metals	Cerium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-45-1	Cerium	mg/kg
34836	Inorganics, Minor, Metals	Cerium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-45-1	Cerium	mg/kg
34837	Inorganics, Minor, Metals	Cerium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-45-1	Cerium	mg/kg
34838	Inorganics, Minor, Metals	Cerium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-45-1	Cerium	mg/kg
34839	Inorganics, Minor, Metals	Cerium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-45-1	Cerium	mg/kg
34840	Inorganics, Minor, Metals	Chromium, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-47-3	Chromium	mg/kg
34841	Inorganics, Minor, Metals	Chromium, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-47-3	Chromium	mg/kg
34842	Inorganics, Minor, Metals	Chromium, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-47-3	Chromium	mg/kg
34843	Inorganics, Minor, Metals	Chromium, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-47-3	Chromium	mg/kg
34844	Inorganics, Minor, Metals	Chromium, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-47-3	Chromium	mg/kg
34845	Inorganics, Minor, Metals	Cobalt, bed sediment smaller than 62.5 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-48-4	Cobalt	mg/kg
34846	Inorganics, Minor, Metals	Cobalt, bed sediment smaller than 177 microns, wet sieved, field, total digestion, dry weight, milligrams per kilogram	7440-48-4	Cobalt	mg/kg
34847	Inorganics, Minor, Metals	Cobalt, bed sediment smaller than 62.5 microns, dry sieved, laboratory, total digestion, dry weight, milligrams per kilogram	7440-48-4	Cobalt	mg/kg
34848	Inorganics, Minor, Metals	Cobalt, suspended sediment smaller than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-48-4	Cobalt	mg/kg
34849	Inorganics, Minor, Metals	Cobalt, suspended sediment larger than 62.5 microns, total digestion, dry weight, milligrams per kilogram	7440-48-4	Cobalt	mg/kg
